City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pasvalys,LT,67.32,broken clouds,56.06,24.4,
1,Atuona,PF,77.83,clear sky,-9.8,-139.03,
2,Ribeira Grande,PT,72.01,broken clouds,38.52,-28.7,
3,Talnakh,RU,61.65,light rain,69.49,88.4,
5,Avarua,CK,77.05,few clouds,-21.21,-159.78,
6,Teguldet,RU,61.92,overcast clouds,57.31,88.17,
7,Lieksa,FI,60.94,broken clouds,63.32,30.02,
8,Ponta Do Sol,PT,70.72,clear sky,32.67,-17.1,
10,Yellowknife,CA,61.29,broken clouds,62.46,-114.35,
11,Hamilton,US,76.35,clear sky,39.18,-84.53,
16,Thompson,CA,65.61,overcast clouds,55.74,-97.86,
19,Rikitea,PF,74.21,overcast clouds,-23.12,-134.97,
22,Pombia,IT,69.6,broken clouds,45.65,8.63,
23,Saint-Philippe,RE,67.59,light rain,-21.36,55.77,
29,San Cristobal,VE,65.46,broken clouds,7.77,-72.22,
30,Vanimo,PG,84.04,moderate rain,-2.67,141.3,
31,Mackay,AU,79.68,broken clouds,-21.15,149.2,
33,Hithadhoo,MV,80.74,broken clouds,-0.6,73.08,
34,Acajutla,SV,79.81,moderate rain,13.59,-89.83,
35,Torbay,CA,65.75,light rain,47.67,-52.73,
36,Mackenzie,CA,65.19,broken clouds,55.3,-123.17,
37,Airai,TL,76.06,overcast clouds,-8.93,125.41,
38,Asheville,US,74.55,few clouds,35.6,-82.55,
42,Timbiqui,CO,74.19,scattered clouds,2.77,-77.67,
43,Saskylakh,RU,66.76,few clouds,71.92,114.08,
44,Agadir,MA,70.25,clear sky,30.42,-9.6,
47,Mahebourg,MU,68.29,moderate rain,-20.41,57.7,
48,High Level,CA,64.06,few clouds,58.52,-117.14,
49,Huarmey,PE,65.46,scattered clouds,-10.07,-78.15,
51,Mount Isa,AU,85.77,clear sky,-20.73,139.5,
54,Sorada,IN,80.44,overcast clouds,19.75,84.43,
55,Dingle,PH,87.33,broken clouds,11.0,122.67,
56,Asfi,MA,70.36,overcast clouds,32.3,-9.24,
57,Vaini,TO,69.96,broken clouds,-21.2,-175.2,
58,Merauke,ID,82.36,overcast clouds,-8.47,140.33,
60,Hilo,US,80.33,moderate rain,19.73,-155.09,
61,Butaritari,KI,81.66,overcast clouds,3.07,172.79,
63,Pyapon,MM,85.14,overcast clouds,16.28,95.68,
66,Metro,ID,83.97,broken clouds,-5.11,105.31,
71,Migori,KE,64.72,overcast clouds,-1.06,34.47,
72,Yeniseysk,RU,63.55,overcast clouds,58.45,92.17,
74,Souillac,MU,68.38,heavy intensity rain,-20.52,57.52,
75,Kahului,US,81.97,scattered clouds,20.89,-156.47,
76,Ciudad Bolivar,VE,76.1,overcast clouds,8.12,-63.55,
77,Broken Hill,AU,62.78,clear sky,-31.95,141.43,
78,Madang,PG,85.19,broken clouds,-5.22,145.8,
80,Praia Da Vitoria,PT,72.75,clear sky,38.73,-27.07,
82,Albany,US,67.39,overcast clouds,42.6,-73.97,
85,Guerrero Negro,MX,70.16,clear sky,27.98,-114.06,
86,Anloga,GH,75.96,overcast clouds,5.79,0.9,
87,Jamestown,US,69.39,clear sky,42.1,-79.24,
88,Yarada,IN,86.32,mist,17.65,83.27,
89,Palaikastron,GR,77.74,clear sky,35.2,26.25,
90,Kodiak,US,62.11,overcast clouds,57.79,-152.41,
91,Suffolk,US,78.93,broken clouds,40.87,-72.8,
93,Arawa,PG,85.1,light rain,-6.21,155.54,
94,Termiz,UZ,82.49,clear sky,37.22,67.28,
95,Pangai,TO,72.27,light rain,-19.8,-174.35,
96,Vila Franca Do Campo,PT,68.41,few clouds,37.72,-25.43,
99,Lata,PT,62.92,scattered clouds,40.16,-8.33,
101,Gilgit,PK,89.24,scattered clouds,35.92,74.31,
102,Georgetown,MY,87.73,few clouds,5.41,100.34,
103,Carnarvon,AU,69.87,overcast clouds,-24.87,113.63,
105,Cayenne,GF,82.09,clear sky,4.93,-52.33,
106,Guarapari,BR,73.29,clear sky,-20.67,-40.5,
107,Namatanai,PG,84.83,light rain,-3.67,152.43,
108,Flin Flon,CA,64.96,clear sky,54.77,-101.86,
109,Port Alfred,ZA,60.28,few clouds,-33.59,26.89,
111,Arraial Do Cabo,BR,70.21,clear sky,-22.97,-42.03,
112,Hasaki,JP,88.29,overcast clouds,35.73,140.83,
113,Altoona,US,73.29,broken clouds,40.52,-78.39,
114,Geraldton,AU,67.12,overcast clouds,-28.77,114.6,
116,Zaysan,KZ,71.2,clear sky,47.47,84.87,
117,Shahi,IN,83.28,overcast clouds,28.55,79.32,
118,Kutum,SD,68.67,overcast clouds,14.2,24.67,
119,Nikolskoye,RU,67.8,overcast clouds,59.7,30.79,
120,Kapaa,US,82.72,light rain,22.08,-159.32,
121,Puerto Ayora,EC,71.38,few clouds,-0.74,-90.35,
123,Nouadhibou,MR,68.13,few clouds,20.93,-17.03,
124,La Ronge,CA,64.62,scattered clouds,55.1,-105.28,
127,Port Blair,IN,83.05,overcast clouds,11.67,92.75,
128,Jibuti,DJ,85.42,broken clouds,11.5,42.5,
129,Palmer,US,67.48,broken clouds,42.16,-72.33,
130,Bilma,NE,86.54,overcast clouds,18.69,12.92,
131,Alice Springs,AU,74.75,overcast clouds,-23.7,133.88,
132,East London,ZA,63.9,clear sky,-33.02,27.91,
133,Mizdah,LY,66.67,clear sky,31.45,12.98,
135,Lagoa,PT,69.8,overcast clouds,39.05,-27.98,
136,Kamaishi,JP,74.35,overcast clouds,39.27,141.88,
138,Soe,ID,82.63,broken clouds,-9.86,124.28,
139,Asau,RO,72.95,few clouds,46.43,26.4,
140,Grand Gaube,MU,68.4,heavy intensity rain,-20.01,57.66,
142,The Valley,AI,81.82,clear sky,18.22,-63.06,
145,Touros,BR,74.3,few clouds,-5.2,-35.46,
148,Manavalakurichi,IN,80.69,overcast clouds,8.13,77.3,
150,Bandarbeyla,SO,79.11,scattered clouds,9.49,50.81,
151,Awallan,PH,84.18,light rain,17.92,121.91,
153,Khatanga,RU,85.77,clear sky,71.97,102.5,
155,Alofi,NU,75.09,light rain,-19.06,-169.92,
156,Jagadhri,IN,78.42,moderate rain,30.17,77.3,
157,Harlingen,US,86.34,clear sky,26.19,-97.7,
159,Lahijan,IR,77.54,overcast clouds,37.21,50.0,
160,Shubarkuduk,KZ,71.53,overcast clouds,49.14,56.49,
161,Bambous Virieux,MU,68.25,moderate rain,-20.34,57.76,
162,Kraskino,RU,83.14,scattered clouds,42.71,130.78,
164,Abu Samrah,SY,76.6,clear sky,35.3,37.18,
166,Eatonton,US,78.39,overcast clouds,33.33,-83.39,
168,Sulangan,PH,84.99,overcast clouds,11.14,123.72,
170,Kijang,KR,81.43,scattered clouds,35.24,129.21,
171,Faanui,PF,77.81,light rain,-16.48,-151.75,
172,Half Moon Bay,US,79.32,few clouds,37.46,-122.43,
173,Norman Wells,CA,64.44,broken clouds,65.28,-126.83,
177,La Plaine,DM,78.44,broken clouds,15.33,-61.25,
181,Diamantino,BR,73.38,overcast clouds,-14.41,-56.45,
