City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pasvalys,LT,56.0594,24.4036,67.32,96,64,5.82,broken clouds
1,Atuona,PF,-9.8,-139.0333,77.83,71,1,17.92,clear sky
2,Ribeira Grande,PT,38.5167,-28.7,72.01,85,55,8.61,broken clouds
3,Talnakh,RU,69.4865,88.3972,61.65,86,96,4.45,light rain
4,New Norfolk,AU,-42.7826,147.0587,55.92,63,53,5.01,light rain
5,Avarua,CK,-21.2078,-159.775,77.05,65,21,4.61,few clouds
6,Teguldet,RU,57.3064,88.1667,61.92,63,92,2.37,overcast clouds
7,Lieksa,FI,63.3167,30.0167,60.94,89,51,3.74,broken clouds
8,Ponta Do Sol,PT,32.6667,-17.1,70.72,77,3,3.98,clear sky
9,Fernandez,AR,-27.9204,-63.8935,46.99,32,4,3.62,clear sky
10,Yellowknife,CA,62.456,-114.3525,61.29,48,57,8.99,broken clouds
11,Hamilton,US,39.1834,-84.5333,76.35,82,1,0.0,clear sky
12,Klaksvik,FO,62.2266,-6.589,50.92,96,99,4.61,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,38.86,93,75,3.44,light rain
14,Srednekolymsk,RU,67.45,153.6833,37.26,97,100,9.13,light rain
15,Camabatela,AO,-8.1881,15.375,54.05,53,31,1.41,scattered clouds
16,Thompson,CA,55.7435,-97.8558,65.61,61,95,9.42,overcast clouds
17,Muyezerskiy,RU,63.9333,31.65,59.7,85,8,2.93,clear sky
18,Kaitangata,NZ,-46.2817,169.8464,51.08,66,68,1.03,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,74.21,79,100,15.3,overcast clouds
20,Castro,BR,-24.7911,-50.0119,46.02,91,100,7.02,overcast clouds
21,Busselton,AU,-33.65,115.3333,59.04,68,46,19.93,scattered clouds
22,Pombia,IT,45.653,8.6336,69.6,95,75,3.44,broken clouds
23,Saint-Philippe,RE,-21.3585,55.7679,67.59,88,89,12.86,light rain
24,Tuktoyaktuk,CA,69.4541,-133.0374,44.76,91,100,11.86,light rain
25,Ust-Koksa,RU,50.2696,85.6108,57.33,86,95,2.89,overcast clouds
26,Clyde River,CA,70.4692,-68.5914,44.02,75,98,1.99,overcast clouds
27,Hobart,AU,-42.8794,147.3294,56.26,59,75,5.01,broken clouds
28,Iqaluit,CA,63.7506,-68.5145,43.7,75,100,8.99,overcast clouds
29,San Cristobal,VE,7.7669,-72.225,65.46,95,60,1.5,broken clouds
30,Vanimo,PG,-2.6741,141.3028,84.04,78,37,6.64,moderate rain
31,Mackay,AU,-21.15,149.2,79.68,60,80,4.94,broken clouds
32,Bluff,NZ,-46.6,168.3333,52.81,70,32,6.6,scattered clouds
33,Hithadhoo,MV,-0.6,73.0833,80.74,78,61,9.01,broken clouds
34,Acajutla,SV,13.5928,-89.8275,79.81,81,94,2.17,moderate rain
35,Torbay,CA,47.6666,-52.7314,65.75,97,100,10.92,light rain
36,Mackenzie,CA,55.2999,-123.1698,65.19,42,65,5.03,broken clouds
37,Airai,TL,-8.9266,125.4092,76.06,34,89,4.88,overcast clouds
38,Asheville,US,35.6009,-82.554,74.55,92,20,1.01,few clouds
39,Mount Gambier,AU,-37.8333,140.7667,48.2,81,94,18.88,light rain
40,Hermanus,ZA,-34.4187,19.2345,51.91,66,99,12.21,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,52.48,79,79,1.45,broken clouds
42,Timbiqui,CO,2.7717,-77.6654,74.19,91,29,0.6,scattered clouds
43,Saskylakh,RU,71.9167,114.0833,66.76,38,16,19.46,few clouds
44,Agadir,MA,30.4202,-9.5982,70.25,86,8,3.49,clear sky
45,Mar Del Plata,AR,-38.0023,-57.5575,46.13,68,96,11.01,overcast clouds
46,Port Elizabeth,ZA,-33.918,25.5701,56.1,80,27,14.92,scattered clouds
47,Mahebourg,MU,-20.4081,57.7,68.29,94,75,14.97,moderate rain
48,High Level,CA,58.5169,-117.136,64.06,61,14,2.39,few clouds
49,Huarmey,PE,-10.0681,-78.1522,65.46,86,38,10.74,scattered clouds
50,Nome,US,64.5011,-165.4064,50.16,93,90,14.97,moderate rain
51,Mount Isa,AU,-20.7333,139.5,85.77,23,8,11.5,clear sky
52,Qaanaaq,GL,77.484,-69.3632,42.28,91,98,5.75,overcast clouds
53,Victoria,HK,22.2855,114.1577,93.04,80,99,4.0,overcast clouds
54,Sorada,IN,19.75,84.4333,80.44,79,100,4.97,overcast clouds
55,Dingle,PH,10.9995,122.6711,87.33,65,76,17.45,broken clouds
56,Asfi,MA,32.2994,-9.2372,70.36,90,86,12.75,overcast clouds
57,Vaini,TO,-21.2,-175.2,69.96,78,75,10.36,broken clouds
58,Merauke,ID,-8.4667,140.3333,82.36,76,98,12.15,overcast clouds
59,Ilulissat,GL,69.2167,-51.1,53.62,62,100,9.22,overcast clouds
60,Hilo,US,19.7297,-155.09,80.33,83,40,9.22,moderate rain
61,Butaritari,KI,3.0707,172.7902,81.66,72,100,4.5,overcast clouds
62,Berlevag,NO,70.8578,29.0864,42.8,87,98,6.17,overcast clouds
63,Pyapon,MM,16.2833,95.6833,85.14,75,99,15.23,overcast clouds
64,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,18.41,broken clouds
65,Bredasdorp,ZA,-34.5322,20.0403,49.28,63,100,9.78,overcast clouds
66,Metro,ID,-5.1131,105.3067,83.97,57,64,7.43,broken clouds
67,Longyearbyen,SJ,78.2186,15.6401,42.49,98,100,0.78,overcast clouds
68,Pangnirtung,CA,66.1451,-65.7125,49.48,74,100,1.9,overcast clouds
69,Cherskiy,RU,68.75,161.3,38.23,75,100,18.63,overcast clouds
70,Dikson,RU,73.5069,80.5464,37.31,99,100,12.08,overcast clouds
71,Migori,KE,-1.0634,34.4731,64.72,66,100,4.65,overcast clouds
72,Yeniseysk,RU,58.4497,92.1703,63.55,55,98,7.23,overcast clouds
73,Saldanha,ZA,-33.0117,17.9442,55.13,65,100,5.46,overcast clouds
74,Souillac,MU,-20.5167,57.5167,68.38,94,75,14.97,heavy intensity rain
75,Kahului,US,20.8947,-156.47,81.97,79,40,21.85,scattered clouds
76,Ciudad Bolivar,VE,8.1222,-63.5497,76.1,87,100,8.59,overcast clouds
77,Broken Hill,AU,-31.95,141.4333,62.78,32,0,24.94,clear sky
78,Madang,PG,-5.2246,145.7966,85.19,67,65,5.37,broken clouds
79,Tiksi,RU,71.6872,128.8694,41.74,80,15,14.43,few clouds
80,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,86,7,7.16,clear sky
81,Bethanien,NA,-26.502,17.1583,51.78,47,0,3.42,clear sky
82,Albany,US,42.6001,-73.9662,67.39,93,100,3.0,overcast clouds
83,Laguna,US,38.421,-121.4238,90.43,36,1,5.01,clear sky
84,Rosario,AR,-32.9468,-60.6393,40.95,62,10,4.0,clear sky
85,Guerrero Negro,MX,27.9769,-114.0611,70.16,82,0,16.24,clear sky
86,Anloga,GH,5.7947,0.8973,75.96,82,100,13.8,overcast clouds
87,Jamestown,US,42.097,-79.2353,69.39,86,1,1.99,clear sky
88,Yarada,IN,17.65,83.2667,86.32,74,40,11.5,mist
89,Palaikastron,GR,35.2,26.25,77.74,62,0,17.63,clear sky
90,Kodiak,US,57.79,-152.4072,62.11,59,90,9.22,overcast clouds
91,Suffolk,US,40.8668,-72.7996,78.93,77,75,5.01,broken clouds
92,Surgut,RU,61.25,73.4167,55.58,100,40,8.95,light rain
93,Arawa,PG,-6.2132,155.5367,85.1,69,98,4.63,light rain
94,Termiz,UZ,37.2242,67.2783,82.49,24,0,6.91,clear sky
95,Pangai,TO,-19.8,-174.35,72.27,83,100,16.17,light rain
96,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,89,11,7.43,few clouds
97,Mpanda,TZ,-6.3655,31.0409,55.89,54,9,0.22,clear sky
98,Barrow,US,71.2906,-156.7887,42.82,91,90,19.57,mist
99,Lata,PT,40.1629,-8.3327,62.92,98,28,2.28,scattered clouds
100,Lena,ES,43.1,-5.7333,50.13,92,48,1.72,scattered clouds
101,Gilgit,PK,35.9221,74.3087,89.24,49,45,2.39,scattered clouds
102,Georgetown,MY,5.4112,100.3354,87.73,70,20,4.61,few clouds
103,Carnarvon,AU,-24.8667,113.6333,69.87,54,90,10.36,overcast clouds
104,Tuatapere,NZ,-46.1333,167.6833,52.83,65,54,0.92,broken clouds
105,Cayenne,GF,4.9333,-52.3333,82.09,82,0,3.0,clear sky
106,Guarapari,BR,-20.6667,-40.4975,73.29,81,6,11.72,clear sky
107,Namatanai,PG,-3.6667,152.4333,84.83,67,25,4.99,light rain
108,Flin Flon,CA,54.7682,-101.865,64.96,66,6,4.68,clear sky
109,Port Alfred,ZA,-33.5906,26.891,60.28,83,11,14.32,few clouds
110,Chokurdakh,RU,70.6333,147.9167,50.61,44,55,13.98,broken clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,70.21,84,0,19.93,clear sky
112,Hasaki,JP,35.7333,140.8333,88.29,79,100,21.63,overcast clouds
113,Altoona,US,40.5187,-78.3947,73.29,76,70,4.36,broken clouds
