City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chatra,IN,2021-07-27 00:47:50,24.2167,84.8667,78.78,88,100,4.63
1,Korla,CN,2021-07-27 00:47:51,41.7597,86.1469,86.52,22,0,10.54
2,Geraldton,AU,2021-07-27 00:47:51,-28.7667,114.6,64.81,63,40,24.16
3,Nanortalik,GL,2021-07-27 00:46:00,60.1432,-45.2371,47.62,82,48,10.85
4,Ushuaia,AR,2021-07-27 00:44:18,-54.8,-68.3,33.46,93,90,6.91
5,Baft,IR,2021-07-27 00:47:52,29.234,56.6057,70.41,24,88,9.08
6,Bethel,US,2021-07-27 00:47:52,41.3712,-73.414,79.75,80,75,4.61
7,Nome,US,2021-07-27 00:47:53,64.5011,-165.4064,50.07,87,90,10.36
8,Ancud,CL,2021-07-27 00:43:11,-41.8697,-73.8203,42.33,79,14,6.08
9,Sinnamary,GF,2021-07-27 00:47:53,5.3833,-52.95,78.17,85,70,6.69
10,Qaanaaq,GL,2021-07-27 00:43:12,77.484,-69.3632,42.42,82,100,8.59
11,Castro,BR,2021-07-27 00:47:54,-24.7911,-50.0119,58.68,60,84,4.74
12,Tura,IN,2021-07-27 00:47:55,25.5198,90.2201,77.47,93,100,3.62
13,Vilyuysk,RU,2021-07-27 00:47:55,63.7553,121.6247,75.94,48,7,8.25
14,Arraial Do Cabo,BR,2021-07-27 00:43:08,-22.9661,-42.0278,70.11,83,0,26.11
15,Nemuro,JP,2021-07-27 00:47:57,43.3236,145.575,70.23,99,100,13.58
16,Rikitea,PF,2021-07-27 00:47:57,-23.1203,-134.9692,74.68,79,95,17.6
17,Tacuarembo,UY,2021-07-27 00:47:57,-31.7333,-55.9833,47.52,82,0,12.44
18,Cabo San Lucas,MX,2021-07-27 00:47:19,22.8909,-109.9124,96.51,69,3,11.07
19,Yar-Sale,RU,2021-07-27 00:47:58,66.8333,70.8333,50.61,68,53,8.75
20,Albany,US,2021-07-27 00:44:16,42.6001,-73.9662,75.78,80,0,5.82
21,Dutse,NG,2021-07-27 00:47:59,11.7594,9.3392,71.76,93,100,9.31
22,Carnarvon,AU,2021-07-27 00:47:59,-24.8667,113.6333,68.07,67,40,13.8
23,Valparaiso,CL,2021-07-27 00:46:21,-33.0393,-71.6273,56.84,76,0,10.36
24,Vaini,TO,2021-07-27 00:48:00,-21.2,-175.2,78.96,83,75,10.36
25,Butaritari,KI,2021-07-27 00:43:04,3.0707,172.7902,82.53,75,30,7.36
26,Hearst,CA,2021-07-27 00:48:01,49.6835,-83.6665,68.25,90,100,4.18
27,Makakilo City,US,2021-07-27 00:48:02,21.3469,-158.0858,86.32,54,40,13.8
28,Mar Del Plata,AR,2021-07-27 00:43:05,-38.0023,-57.5575,41.13,70,0,3.0
29,Achalpur,IN,2021-07-27 00:48:04,21.2572,77.5086,75.11,85,100,11.3
30,Hobart,AU,2021-07-27 00:48:04,-42.8794,147.3294,57.11,76,75,3.0
31,Busselton,AU,2021-07-27 00:48:08,-33.65,115.3333,51.08,53,100,26.55
32,Hermanus,ZA,2021-07-27 00:48:08,-34.4187,19.2345,57.9,61,5,7.45
33,Kapaa,US,2021-07-27 00:43:26,22.0752,-159.319,88.12,74,1,1.99
34,Boa Vista,BR,2021-07-27 00:48:08,2.8197,-60.6733,78.78,83,75,4.61
35,Port Keats,AU,2021-07-27 00:44:40,-14.25,129.55,83.19,57,33,2.75
36,Qasigiannguit,GL,2021-07-27 00:48:10,68.8193,-51.1922,53.85,85,100,10.96
37,Black River,JM,2021-07-27 00:48:11,18.0264,-77.8487,80.6,80,99,7.0
38,Chanute,US,2021-07-27 00:48:11,37.6792,-95.4572,89.71,55,1,3.44
39,Flinders,AU,2021-07-27 00:48:12,-34.5833,150.8552,67.37,54,4,8.01
40,Port-Gentil,GA,2021-07-27 00:48:12,-0.7193,8.7815,74.46,82,73,12.62
41,Mataura,NZ,2021-07-27 00:48:12,-46.1927,168.8643,51.48,78,22,4.47
42,Kungurtug,RU,2021-07-27 00:48:13,50.5994,97.5228,59.76,87,98,2.04
43,Sivaki,RU,2021-07-27 00:48:14,52.6333,126.75,75.67,62,92,5.95
44,Naze,JP,2021-07-27 00:48:14,28.3667,129.4833,83.32,84,100,14.03
45,Haines Junction,CA,2021-07-27 00:48:16,60.7522,-137.5108,57.15,82,100,3.44
46,Tiksi,RU,2021-07-27 00:48:16,71.6872,128.8694,39.02,88,71,10.29
47,Omsukchan,RU,2021-07-27 00:48:16,62.5333,155.8,50.99,82,100,5.97
48,Deputatskiy,RU,2021-07-27 00:48:17,69.3,139.9,45.63,71,100,3.49
49,Atuona,PF,2021-07-27 00:48:17,-9.8,-139.0333,77.97,70,38,22.55
50,Caravelas,BR,2021-07-27 00:48:19,-17.7125,-39.2481,68.32,90,8,5.7
51,Sao Filipe,CV,2021-07-27 00:48:19,14.8961,-24.4956,74.95,84,32,9.37
52,Atbasar,KZ,2021-07-27 00:48:19,51.8,68.3333,54.88,59,7,4.81
53,Port Lincoln,AU,2021-07-27 00:45:03,-34.7333,135.8667,62.62,45,96,28.25
54,Victoria,HK,2021-07-27 00:47:16,22.2855,114.1577,91.96,82,97,7.0
55,Bundaberg,AU,2021-07-27 00:48:20,-24.85,152.35,68.29,56,0,4.61
56,Litovko,RU,2021-07-27 00:48:21,49.2361,135.1742,89.71,48,98,1.01
57,Chokurdakh,RU,2021-07-27 00:44:32,70.6333,147.9167,43.14,69,100,12.37
58,Ponta Do Sol,PT,2021-07-27 00:48:21,32.6667,-17.1,72.72,77,3,6.38
59,Hovd,MN,2021-07-27 00:48:22,48.0056,91.6419,67.84,51,11,1.88
60,Yumen,CN,2021-07-27 00:46:14,40.2833,97.2,80.91,17,13,18.01
61,Dingle,PH,2021-07-27 00:48:22,10.9995,122.6711,85.84,71,62,16.2
62,Jamestown,US,2021-07-27 00:48:23,42.097,-79.2353,78.12,53,1,5.75
63,Port Alfred,ZA,2021-07-27 00:48:23,-33.5906,26.891,60.49,32,35,9.48
64,East London,ZA,2021-07-27 00:48:23,-33.0153,27.9116,63.55,27,5,12.64
